English,Hindi,Complexity,sonar_eng_emb,sonar_hin_emb,openai_eng_emb,openai_hin_emb,sonar_cos_sim,openai_cos_sim
She got promoted because of her dedication.,उसे उसकी निष्ठा के कारण पदोन्नति मिली।,Medium,"[-0.0121069  -0.00018674  0.01399365 ... -0.07542089  0.01583495
 -0.00650511]","[-0.01878224 -0.01811662  0.02179391 ... -0.03108308  0.02951547
 -0.00332975]","[ 0.00125725 -0.00356015 -0.00229232 ... -0.00507132  0.00378056
 -0.00694397]","[ 0.01242396 -0.01251036  0.00377409 ...  0.01512106 -0.00694334
 -0.00462581]",0.7651026,0.5338160311059094
They won the competition despite the odds.,उन्होंने सभी बाधाओं के बावजूद प्रतियोगिता जीती।,Medium,"[ 0.04601626 -0.02489245  0.01753554 ... -0.03584287 -0.00999692
  0.01913479]","[ 0.03724549 -0.0174321   0.00471071 ... -0.00317648 -0.04808577
  0.00565838]","[ 0.05131903 -0.00907247 -0.00866772 ...  0.00197983  0.01031726
 -0.00344991]","[ 0.04029797  0.0271366   0.00388621 ...  0.01032447  0.01674238
 -0.02155581]",0.6258769,0.5276737353828546
We enjoyed the concert despite the bad weather.,खराब मौसम के बावजूद हमने संगीत कार्यक्रम का आनंद लिया।,Medium,"[ 0.01937206  0.01846265  0.00585109 ... -0.01874077  0.02757127
  0.02256856]","[ 0.03624005  0.0277256   0.00852995 ...  0.00659836 -0.01127897
 -0.00744697]","[ 0.02682884 -0.00323884 -0.00766994 ...  0.00990142  0.01164836
  0.00582099]","[ 0.00676017 -0.02342055 -0.00237774 ... -0.00710402  0.00748679
  0.01058142]",0.5769832,0.6299176372650885
He lost his keys and had to call a locksmith.,उसने अपनी चाबियाँ खो दीं और ताले का तोड़ने वाले को बुलाना पड़ा।,Medium,"[-0.00214638  0.03211479 -0.03130467 ... -0.02953999  0.0360788
  0.03251245]","[-0.00323675  0.019416   -0.03249859 ... -0.03279714  0.03489504
 -0.00373377]","[ 0.02388885  0.03412692  0.00525394 ...  0.00384657 -0.01681553
 -0.00125241]","[ 0.01504338 -0.01730887  0.00876232 ... -0.0013103  -0.01938258
 -0.00834278]",0.8247771,0.3764509882880838
She studied hard to get into her dream university.,उसने अपने सपनों की विश्वविद्यालय में प्रवेश पाने के लिए कड़ी मेहनत की।,Medium,"[-0.02029528 -0.07213204  0.00527226 ... -0.00637345 -0.01329047
  0.04097298]","[-0.03228758 -0.05626969  0.00900269 ... -0.00651145 -0.00665434
  0.03477576]","[ 0.01389423  0.02362416 -0.00995467 ... -0.005949   -0.00756185
 -0.01099905]","[ 0.00708118  0.00497532  0.00075502 ... -0.00378368  0.00382331
 -0.00084089]",0.8600342,0.6349710410956318
The movie was both entertaining and thought-provoking.,यह फिल्म मनोरंजक और विचारोत्तेजक दोनों थी।,Medium,"[ 0.02970354  0.00354798  0.02308282 ... -0.03032652  0.00996048
  0.00723186]","[ 0.02460312 -0.00126889  0.02715739 ... -0.0066049   0.02459067
 -0.02178315]","[-0.02866941  0.06237634 -0.0338304  ... -0.00519494  0.01043927
  0.00731551]","[-0.00105389  0.01988478 -0.02395963 ...  0.00402284  0.01223679
 -0.00644267]",0.82496995,0.5799038856438866
I forgot to lock the door last night.,मैंने कल रात दरवाजा बंद करना भूल गया।,Medium,"[-0.02862123  0.03804201  0.02361566 ... -0.0062168   0.00050477
 -0.01272477]","[-0.00408886  0.00322269  0.02677209 ... -0.00167364 -0.00875699
 -0.04659624]","[ 0.01331713  0.03317177  0.00082728 ...  0.00583129 -0.01294049
  0.00568332]","[-0.02352888  0.03729328  0.00460284 ...  0.0064528  -0.00522047
  0.01344676]",0.82371616,0.6297640780131887
They postponed the meeting until next week.,उन्होंने बैठक को अगले सप्ताह तक स्थगित कर दिया।,Medium,"[-2.3234442e-02  3.6915358e-02  2.2218540e-02 ...  1.5933409e-02
 -3.3965830e-02  8.7798013e-05]","[-0.00710338  0.04207423  0.03351647 ...  0.03437207 -0.02529267
 -0.01237631]","[-0.01752332  0.00181187 -0.01587684 ...  0.01279702  0.00919533
  0.01862588]","[ 0.00315231 -0.01848732  0.00325561 ... -0.01152292  0.00659119
  0.01511508]",0.81605995,0.5420778912363856
She painted the entire room by herself.,उसने पूरे कमरे को खुद ही पेंट किया।,Medium,"[-0.03776624  0.04500232 -0.00195551 ... -0.03558145 -0.00552755
 -0.05763085]","[-0.01721085  0.02720517 -0.02515888 ... -0.01902588  0.01487407
 -0.05757672]","[ 0.02860733 -0.0198511  -0.00292498 ...  0.00474863  0.00415377
 -0.0210476 ]","[ 1.82883292e-02 -4.05806117e-02 -7.70925908e-05 ... -2.25222390e-03
 -2.25518292e-04 -8.82628281e-03]",0.8152665,0.5994458934148623
"Despite the heavy traffic, I managed to arrive at the venue just in time.","भारी ट्रैफिक के बावजूद, मैं समय पर स्थल पर पहुँचने में कामयाब रहा।",High,"[ 0.06923106  0.01131082  0.00526483 ...  0.01847739 -0.05435826
 -0.00568701]","[ 0.01456612  0.0175851   0.02957419 ...  0.01269722 -0.03455327
  0.01409243]","[ 0.0288404   0.04803829 -0.00846624 ...  0.00941742  0.00740614
 -0.00727182]","[ 0.03971664  0.03651002 -0.00541591 ...  0.01202482 -0.00218561
 -0.00200256]",0.81425846,0.6255070501392672
"The novel, which had been forgotten for decades, was rediscovered in an attic.","उपन्यास, जिसे दशकों से भुला दिया गया था, एक अटारी में फिर से खोजा गया।",High,"[-0.00204208 -0.00716352  0.03068134 ...  0.0302677   0.02372222
  0.0283714 ]","[-0.02475337 -0.01910845  0.03050341 ...  0.04165181  0.01820426
  0.01200169]","[-0.04907052  0.01496366 -0.02011321 ...  0.01877233 -0.02325144
  0.00758881]","[-0.03824703  0.01231879 -0.00530502 ...  0.01328224 -0.01523337
  0.00456577]",0.82132983,0.5998153569614052
"Having worked tirelessly for months, they finally launched their startup successfully.","महीनों तक थके बिना काम करने के बाद, उन्होंने अंततः अपनी स्टार्टअप को सफलतापूर्वक लॉन्च किया।",High,"[ 0.02336567  0.00889862 -0.01891482 ...  0.00995202 -0.06652473
  0.01352846]","[-0.0024828   0.00669489 -0.00502532 ...  0.03885797 -0.07806718
 -0.0007171 ]","[ 0.00178006  0.01659103 -0.00605183 ...  0.00903578  0.00261
 -0.0136834 ]","[ 0.01243859  0.01627667 -0.00570688 ...  0.0090091   0.00775654
 -0.00879476]",0.8629491,0.4515320931825331
"Although he was exhausted, he continued to work on the project until dawn.","हालाँकि वह थका हुआ था, उसने भोर तक परियोजना पर काम जारी रखा।",High,"[ 0.0533064  -0.01364532 -0.02854758 ...  0.03478967 -0.04464858
  0.06881521]","[ 0.02673854 -0.00055748  0.00670011 ...  0.03378261 -0.00888964
  0.06030881]","[ 0.01095865  0.01227714 -0.01085778 ...  0.00625745 -0.00351959
 -0.01352359]","[ 0.00993891  0.00594733 -0.00502619 ...  0.00410172  0.00014507
 -0.00874411]",0.83414036,0.6595819104491494
"The committee decided to postpone the decision, given the inconclusive data from the experiment.","अनुपयुक्त प्रयोग संबंधी डेटा को देखते हुए, समिति ने निर्णय स्थगित करने का फैसला किया।",High,"[-0.00593363 -0.06007617  0.01124702 ...  0.02397718 -0.0389544
  0.01449258]","[-0.0628248   0.02647525  0.01711227 ...  0.048629   -0.04673784
 -0.0131976 ]","[ 0.0097635   0.00395208 -0.02261828 ...  0.00487027  0.0083403
  0.00387939]","[-0.01961402 -0.01423752 -0.01460502 ... -0.01007924  0.01630645
 -0.01010646]",0.34699842,0.3954992439091836
"By the time we reached the station, the train had already departed.","जब तक हम स्टेशन पहुँचे, ट्रेन पहले ही रवाना हो चुकी थी।",High,"[-0.00748884  0.00902479  0.0384659  ... -0.00752487 -0.02694751
  0.00029424]","[-0.00363679 -0.01420524  0.03425247 ... -0.01074585 -0.02695937
 -0.01274472]","[ 0.02384035  0.01386891 -0.00210216 ...  0.01131911 -0.00153431
  0.04289745]","[-0.01886346  0.00673152  0.00224248 ...  0.01385421 -0.01058897
  0.02607852]",0.8656467,0.5979604419945389
"If I had known about the storm, I would have postponed my journey.","अगर मुझे तूफान के बारे में पता होता, तो मैंने अपनी यात्रा को स्थगित कर दिया होता।",High,"[-0.00193242  0.04009175 -0.00196901 ...  0.03920503 -0.06060286
  0.00430262]","[-0.00764921  0.03003315 -0.0038971  ...  0.03869924 -0.03492421
 -0.02287837]","[-0.0116184   0.01841332 -0.00514876 ...  0.01127011 -0.01038953
 -0.00175952]","[ 0.01393788  0.00895838 -0.00887598 ... -0.003973   -0.01097137
  0.01411445]",0.8899166,0.7261974772577375
"The documentary, praised by critics worldwide, explores the impact of climate change on marine life.",विषलेषकों द्वारा विश्वभर में सराहित यह वृत्तचित्र समुद्री जीवन पर जलवायु परिवर्तन के प्रभाव का अध्ययन करती है।,High,"[ 0.01357049  0.00177982 -0.05366625 ...  0.02692827 -0.0591485
  0.03205774]","[-0.00819321 -0.02787023 -0.03487751 ...  0.01001278 -0.03501796
  0.05441302]","[-0.02093609 -0.00508326 -0.01645259 ... -0.0114906   0.01742271
  0.02153913]","[-0.00930613 -0.01705359 -0.01149513 ... -0.01134041  0.01606797
  0.02752872]",0.7315253,0.5181962912456833
"She, being the eldest sibling, took on the responsibility of caring for her younger brothers and sisters.","वह, सबसे बड़ी बहन होने के नाते, अपने छोटे भाइयों और बहनों की देखभाल की जिम्मेदारी संभाली।",High,"[ 0.03979408  0.02248333 -0.00825975 ...  0.01156227 -0.0108894
  0.00128131]","[ 0.04395385  0.0369452   0.01707111 ... -0.0236744  -0.00862771
 -0.00293309]","[-0.00569162 -0.00590562 -0.0017934  ...  0.01012483 -0.01750286
 -0.015842  ]","[-0.01950936 -0.01391937 -0.00102917 ...  0.01894328 -0.02634269
 -0.02808135]",0.86089504,0.6933406503232485
"Having been warned of the potential risks, they proceeded with caution.","संभावित जोखिमों की चेतावनी मिलने के बाद, उन्होंने सतर्कता से आगे बढ़ने का निर्णय लिया।",High,"[ 0.00300696  0.00413858 -0.0158154  ...  0.02165048 -0.04429771
  0.05970763]","[-0.00679558 -0.01209969 -0.00408283 ...  0.01689822 -0.02880557
  0.03754571]","[ 0.01603177 -0.03110198 -0.00955437 ...  0.00467666 -0.00725538
 -0.00483401]","[ 0.00997426 -0.02704883 -0.00364387 ...  0.00076442  0.01405363
 -0.00802645]",0.71260315,0.5899377071357325
"The painting, though abstract in style, evokes a sense of nostalgia among its viewers.","चित्र, हालांकि अमूर्त शैली का है, अपने दर्शकों में एक तरह की नॉस्टेल्जिया की भावना जगाता है।",High,"[ 0.03213293 -0.04243292  0.00140982 ... -0.02797206 -0.02798008
  0.02724239]","[ 0.04833939 -0.02159226 -0.00851234 ... -0.04087422 -0.01808534
  0.01219547]","[-0.00468443  0.001065   -0.02820163 ... -0.00967293  0.03833698
  0.01275788]","[ 0.01253753  0.01298553 -0.02096109 ... -0.01559778  0.02627392
  0.00496264]",0.72776306,0.46487549815085283
"While the proposal sounded promising, it lacked a comprehensive implementation plan.","जबकि प्रस्ताव आशाजनक लगता था, उसमें एक व्यापक कार्यान्वयन योजना की कमी थी।",High,"[ 0.06087299 -0.00969893 -0.02686271 ... -0.00686726 -0.02186692
 -0.0046635 ]","[ 0.0372148  -0.01422876  0.00671241 ... -0.00223082 -0.03142999
 -0.0178974 ]","[ 0.00407388  0.0222044  -0.0109791  ...  0.00884791  0.00953266
  0.00994043]","[-0.00937191  0.02725701 -0.0114965  ... -0.00297777  0.00675503
 -0.01383578]",0.84469044,0.5401478096786276
"The scientist, whose research has revolutionized the field, received a prestigious award.","वह वैज्ञानिक, जिनके शोध ने इस क्षेत्र में क्रांति ला दी है, को एक प्रतिष्ठित पुरस्कार मिला।",High,"[-0.02726715  0.02488723 -0.03992959 ... -0.03648181 -0.02694601
  0.06427848]","[-0.0479999   0.01351005 -0.03762842 ... -0.02160379 -0.01035273
  0.04169485]","[ 0.04259447 -0.012164   -0.01630057 ... -0.02266244  0.01868969
  0.00390108]","[ 0.02809592 -0.02757225 -0.01598325 ... -0.00010192 -0.00216724
  0.00236789]",0.864511,0.6397174682376466
"Unless you submit the report by Monday, you will miss the deadline.","जब तक आप रिपोर्ट सोमवार तक जमा नहीं करते, आप समय सीमा चूक जाएंगे।",High,"[ 0.00718872  0.03293874 -0.00884782 ...  0.02074349 -0.05557713
 -0.02081217]","[-0.01262183  0.02975855 -0.03481767 ...  0.02113491 -0.01714419
 -0.0175928 ]","[-0.0046186   0.01463263 -0.01786707 ...  0.01012703  0.01916649
  0.00879229]","[-0.01110721 -0.03834005 -0.01175363 ... -0.00666224  0.00838949
  0.00813232]",0.8388142,0.6149832869703474
"In spite of the challenges they faced, the expedition team reached the summit successfully.","उन चुनौतियों के बावजूद जो उनका सामना कर रही थीं, अभियान दल ने सफलतापूर्वक चोटी पर पहुंचा।",High,"[-0.01322165 -0.01999606 -0.03560657 ...  0.00837742 -0.05251128
  0.0511816 ]","[-0.05866621  0.00423095 -0.02491339 ...  0.01564654 -0.04408231
  0.02796841]","[ 0.01232767  0.04274118 -0.01145042 ...  0.00904293 -0.00481498
 -0.01013784]","[ 0.03142751  0.03183968 -0.01013022 ...  0.01483791 -0.01034274
 -0.02758924]",0.7871648,0.5371534254611995
The architect designed the building to withstand earthquakes and severe weather conditions.,वास्तुकार ने इमारत को भूकंपों और कठोर मौसम की परिस्थितियों का सामना करने के लिए डिजाइन किया।,High,"[ 0.05322357 -0.00834648 -0.07263678 ...  0.00863689  0.01777159
  0.05462261]","[ 0.00016733 -0.0118256  -0.06909839 ... -0.00901569 -0.0018813
  0.03998299]","[ 0.00599454  0.00494952 -0.0085534  ...  0.00443775 -0.00113807
 -0.00220098]","[-0.00562897 -0.01647446 -0.01210606 ... -0.00363937 -0.01143221
 -0.00575677]",0.851023,0.5799094356314777
"After meticulously analyzing the data, the researchers published their groundbreaking findings.","डेटा का सूक्ष्मता से विश्लेषण करने के बाद, शोधकर्ताओं ने अपने क्रांतिकारी निष्कर्ष प्रकाशित किए।",High,"[-0.03354031 -0.01895015 -0.0026741  ...  0.01141322 -0.05895631
  0.05431163]","[-0.02361549 -0.01408906 -0.0249365  ...  0.01713939 -0.0601497
  0.03525897]","[ 0.02950365 -0.02414917 -0.02479727 ... -0.01717446  0.01550794
 -0.00011537]","[-0.00312936 -0.03609034 -0.01518404 ... -0.00500697  0.00287367
  0.00102351]",0.8237325,0.5012640110446835
"The legislation, aimed at reducing carbon emissions, has sparked widespread debate among policymakers.",कार्बन उत्सर्जन कम करने के उद्देश्य से बनाई गई यह कानूनन प्रस्तावना ने नीति निर्धारित करने वालों के बीच व्यापक बहस छेड़ दी है।,High,"[ 0.00319107 -0.04455155  0.02775234 ...  0.00274601  0.02274717
  0.04854204]","[-0.02703662 -0.05491547  0.04922541 ...  0.03312636  0.04440875
  0.04442208]","[-0.00164251 -0.02193816 -0.01252084 ... -0.00307504  0.03083585
  0.00418903]","[-0.0132534  -0.05213607 -0.0153182  ... -0.00552333  0.01229198
 -0.00991747]",0.78929263,0.6137142501868209
She rehearsed her speech multiple times to ensure it was flawless before the conference.,उसने सम्मेलन से पहले इसे निर्दोष बनाने के लिए अपना भाषण कई बार अभ्यास किया।,High,"[-0.04387609  0.02893026  0.03954402 ... -0.01502346 -0.02016054
  0.0215283 ]","[-0.03905878  0.01669023  0.00485241 ...  0.00658828 -0.02290566
 -0.00862996]","[ 0.01125798  0.02282251 -0.01825494 ... -0.01745792  0.01400925
  0.01338083]","[ 0.00980245 -0.01292915 -0.00420608 ... -0.01317553  0.01405546
  0.00371625]",0.69135803,0.5582623108704042
"Although the theory seemed plausible, it lacked empirical evidence to support it.","हालाँकि सिद्धांत यथार्थवादी लगता था, इसमें इसे समर्थन देने के लिए व्यावहारिक साक्ष्य की कमी थी।",High,"[ 0.05988069 -0.02647855 -0.01606577 ...  0.02699085 -0.02106518
  0.00361128]","[ 0.01848296 -0.00730158 -0.01451534 ...  0.00550556 -0.01940382
 -0.01425282]","[-0.00517999  0.01199724 -0.02282402 ... -0.00474804 -0.00318916
  0.003487  ]","[ 0.01454499  0.02561132 -0.01756838 ...  0.01435821 -0.011078
 -0.0123504 ]",0.7763591,0.44259615203236913
"The novel’s intricate plot, weaving together multiple timelines, captivated the readers until the last page.","उपन्यास की जटिल कथा, जो कई समय रेखाओं को एक साथ बाँधती है, ने पाठकों को अंतिम पृष्ठ तक मंत्रमुग्ध कर रखा।",High,"[-0.01591541 -0.03163875  0.04248953 ... -0.00644743  0.00656428
 -0.00719139]","[-0.04970668 -0.02532369  0.06319352 ... -0.01451111  0.01315683
 -0.02975809]","[ 0.00550271 -0.01202209 -0.01568809 ... -0.00088728  0.00088821
 -0.02643377]","[-0.00557474 -0.03230536 -0.01630259 ... -0.01046864  0.01604025
 -0.01138058]",0.8260043,0.4897903619511855
"Having spent years studying ancient civilizations, he authored a book on forgotten cultures.","प्राचीन सभ्यताओं का वर्षों तक अध्ययन करने के बाद, उन्होंने भूली-बिसरी संस्कृतियों पर एक पुस्तक लिखी।",High,"[-0.00107114  0.02573928 -0.03398655 ... -0.00241083 -0.02318863
  0.00357057]","[-0.02300273 -0.00845479 -0.01558993 ...  0.0059894  -0.00918725
  0.01159206]","[-0.00558876  0.00151707 -0.03481565 ... -0.00347892 -0.00643534
  0.00420645]","[ 0.00190894  0.00136271 -0.02141856 ... -0.00980233  0.00414767
  0.01363166]",0.76937765,0.5721775852688444
"The policy, introduced during the economic downturn, provided relief to struggling businesses.",आर्थिक मंदी के दौरान पेश की गई यह नीति संघर्षशील व्यवसायों को राहत प्रदान करती है।,High,"[ 0.04373263 -0.02597618  0.00069382 ... -0.00051962  0.01247787
  0.022802  ]","[ 0.01611034 -0.01900551  0.02827358 ... -0.00425272  0.00646074
  0.0308109 ]","[-0.00156336  0.00265055 -0.0075443  ... -0.00352105 -0.00669613
 -0.0096201 ]","[-0.01614414  0.01417355 -0.01331677 ... -0.02859189 -0.0115359
 -0.03637632]",0.8220182,0.6110957766723922
"If the results of the trial prove positive, the drug could be approved for public use.","यदि परीक्षण के परिणाम सकारात्मक साबित होते हैं, तो दवा को सार्वजनिक उपयोग के लिए मंजूरी दी जा सकती है।",High,"[-0.00030155  0.05262901  0.01936119 ...  0.04524746 -0.06145805
  0.01379523]","[-0.01110498  0.05936489  0.04161978 ...  0.0305183  -0.04640755
 -0.00469367]","[-0.02567264  0.02335249 -0.01683137 ... -0.00627401  0.00598571
  0.00719383]","[-0.02007521  0.02717912 -0.01863261 ... -0.02251188  0.00488242
  0.00092815]",0.8306111,0.6049975929779031
"The festival, celebrated annually since the 17th century, attracts tourists from around the world.",17वीं सदी से प्रतिवर्ष मनाया जाने वाला यह त्योहार दुनिया भर के पर्यटकों को आकर्षित करता है।,High,"[ 0.00147307  0.03386233  0.0115963  ... -0.03425882 -0.03928249
  0.01842889]","[-0.01638166  0.03859744  0.02269153 ... -0.02837604 -0.04049547
 -0.02570413]","[ 0.01892274 -0.02091661 -0.01280777 ...  0.01369041 -0.01389361
  0.005172  ]","[ 0.00919752  0.00197595 -0.00694696 ...  0.01310305  0.00355403
 -0.0139525 ]",0.8564836,0.7058977048170795
"Whether we agree with the decision or not, we must abide by the regulations set forth by the committee.","चाहे हम इस निर्णय से सहमत हों या नहीं, हमें समिति द्वारा निर्धारित नियमों का पालन करना चाहिए।",High,"[-0.00559585 -0.01378488  0.00147819 ...  0.04914755 -0.03136794
  0.0036571 ]","[ 0.01573863 -0.02262641  0.01501142 ...  0.038125   -0.03176812
 -0.02630355]","[ 0.01843628 -0.02833083 -0.02057564 ...  0.01661153  0.01594298
  0.00864397]","[-0.00643093 -0.03583836 -0.00876604 ... -0.00232575  0.01622092
 -0.00510103]",0.8060043,0.6398675859451786
"In order to achieve sustainable growth, companies must adapt to evolving market demands.","स्थायी विकास प्राप्त करने के लिए, कंपनियों को बढ़ती बाजार की मांगों के अनुकूल होना चाहिए।",High,"[-0.00808058 -0.0481141  -0.00982785 ...  0.04017029 -0.05480407
  0.03512585]","[-0.03776764 -0.04179192  0.01347679 ...  0.0622834  -0.08369584
  0.03888101]","[ 0.00313077  0.00840532 -0.02235758 ...  0.00044485 -0.00171396
  0.00125496]","[-0.00981229 -0.01670039 -0.01715527 ...  0.01105995 -0.00047234
 -0.01114443]",0.7718869,0.6213881481667667
"The historical monument, neglected for years, has now been restored to its former glory.",वर्षों तक उपेक्षित ऐतिहासिक स्मारक को अब उसकी पूर्व वैभव में पुनर्स्थापित किया गया है।,High,"[-0.0245362   0.02676603 -0.01532061 ... -0.00355952 -0.00863632
  0.00970862]","[-0.0397104   0.02334321  0.01732719 ... -0.00727876 -0.01328711
  0.00575007]","[ 0.02010406  0.02852112 -0.01834798 ... -0.00595325 -0.01246664
 -0.00273252]","[ 0.00674143 -0.00224659 -0.01182415 ... -0.00073776 -0.01498836
 -0.00518264]",0.8295825,0.6026357855311768
"Even though the path was treacherous, they navigated it successfully.","हालाँकि मार्ग बहुत खतरनाक था, उन्होंने इसे सफलतापूर्वक पार किया।",High,"[ 0.02487719  0.04565169 -0.03972335 ...  0.03854841 -0.02623542
  0.00653364]","[-0.01492616  0.03744182 -0.03631414 ...  0.01240865 -0.00154879
 -0.01660235]","[ 0.03059029  0.02275271 -0.00769507 ...  0.01341096 -0.00440567
 -0.01177219]","[ 0.02384728  0.01265039 -0.00194159 ...  0.00502259 -0.0018215
 -0.00734141]",0.7197829,0.6839893441390084
"The research, funded by multiple grants, explores the intersection of technology and ethics.",कई ग्रांट्स द्वारा वित्त पोषित यह शोध प्रौद्योगिकी और नैतिकता के संगम का अध्ययन करता है।,High,"[ 0.03092975  0.00695774 -0.02706464 ... -0.02569732 -0.00309843
  0.02475967]","[ 0.00045879  0.01064214 -0.03045036 ... -0.05721194 -0.00040886
 -0.00608485]","[-0.01721104  0.02662436 -0.03225901 ... -0.04304762 -0.01994825
 -0.0214704 ]","[-0.02015801 -0.01139781 -0.02279561 ... -0.0303717  -0.01168401
 -0.00970862]",0.7644967,0.6220516388160167
"Provided that the funding is secured, the project can commence next quarter.","बशर्ते कि फंडिंग सुनिश्चित हो जाए, परियोजना अगले तिमाही में शुरू हो सकती है।",High,"[ 0.00936957  0.02740815 -0.05318254 ...  0.06200698 -0.05997202
  0.00832218]","[-0.01875376  0.04171846 -0.02637893 ...  0.03407818 -0.04737052
 -0.00756897]","[-0.02341893  0.04092569 -0.0109513  ...  0.00762762 -0.02093766
  0.01003997]","[-0.02728781  0.0375467  -0.0074415  ...  0.00961511 -0.00425723
 -0.00303544]",0.84796846,0.5915882338875077
"The artist, influenced by both modernism and surrealism, created a unique style.",आधुनिकतावाद और अतियथार्थवाद दोनों से प्रभावित कलाकार ने एक अद्वितीय शैली बनाई।,High,"[ 0.03383829  0.02089336 -0.0689684  ... -0.04166053  0.03028645
  0.05463327]","[-0.0117251   0.01111996 -0.04041481 ... -0.0406972   0.00693844
  0.02210071]","[-0.00346397  0.00790594 -0.02747755 ... -0.00812848  0.03063992
  0.0089425 ]","[-0.01724847  0.0028964  -0.0239941  ...  0.00090411  0.01382692
 -0.00233742]",0.8201293,0.5173811530721021
"While acknowledging the limitations of the study, the authors emphasized its significant contributions to the field.","अध्ययन की सीमाओं को स्वीकार करते हुए, लेखकों ने क्षेत्र में इसके महत्वपूर्ण योगदान पर जोर दिया।",High,"[ 0.02415354  0.00949611  0.01151217 ...  0.04807594 -0.01969657
  0.01918419]","[-0.01014985 -0.00345773  0.03674769 ...  0.03410554 -0.04864831
  0.00383632]","[-0.01760753  0.02637709 -0.02704746 ... -0.00299102  0.0170466
 -0.0152407 ]","[-0.00575668 -0.00308782 -0.02542249 ... -0.00043796  0.00338884
 -0.02148747]",0.8444046,0.5438125979300286
